Supplier,Product,Carbon_Score,Distance_km,Alternative_Supplier,Alt_Carbon_Score
EcoDairy,Almond Milk,72,1100,PlantPure Farms,45
Local Farm,Organic Rice,60,500,GreenRoots Agro,38
Urban Harvest,Fresh Lettuce,66,850,LeafyLux Farms,42
GreenCrop Co.,Tomatoes,70,1000,NaturaFields,40
PureEarth Agro,Potatoes,68,950,RootFarm Organics,41
SunGrain,Whole Wheat,74,1300,GoldenHarvests,43
FarmFresh,Carrots,63,870,VeggieRoots,39
NaturalCo,Spinach,69,980,FieldGreens,44
EarthSpring,Milk,75,1050,DairyLite,46
AgroPlus,Apples,65,780,OrchardGoodness,40
RiverValley,Onions,67,820,YellowBloom Agro,43
Hilltop Farms,Cabbage,71,1150,GreenerFields,47
GreenHarvest,Strawberries,73,1100,BerryBloom,48
UrbanRoots,Peas,59,720,NutriVeg Farms,35
RootRise,Aubergine,64,810,VioletAgro,38
AgriOrganic,Corn,70,920,SunMaize,39
VeggieFarm,Cucumber,62,760,FreshGrow,36
GrowLocal,Lentils,68,880,NutriPulse,42
NatureNest,Papaya,74,1000,TropicalHarvests,47
SunFarm,Banana,72,980,YellowGold,46
